App Id,Category
com.roborock.smart,Lifestyle
nithra.horoscope.marriage.vivah.matching,Lifestyle
jp.co.cybird.appli.android.sgk,Simulation
net.defensezone.lite,Strategy
com.officedepot.mobile.ui,Shopping
com.luckydroid.droidbase,Productivity
in.co.websites.websitesapp,Business
net.kairosoft.android.kingdom_en,Simulation
com.gettaxi.dbx.android,Maps & Navigation
org.qtproject.hexsudoku,Puzzle
com.hunderdeightydegree.VoxelDestructionPrototype,Simulation
com.forler.j_style,Health & Fitness
com.roboforex.webtrader,Finance
com.au.dance.en,Music
com.d2l.brightspace.student.android,Education
com.netmarble.mpoker,Casino
com.zocdoc.android,Medical
enstone.ccapi.consolemanager,Tools
com.ikeyboard.theme.galaxy.candy.cupcake,Personalization
com.step.step,Finance
love.lyrical.video.lyric.app.lyrics.makemyvideostatus,Video Players & Editors
com.samapp.excelcontacts.excelcontactslite,Business
com.asobimo.celes_gp,Role Playing
com.fatcat.FamilyHelpers,Entertainment
com.grabbinggames.womenlehenga.sareephotoshoot,Photography
com.grupoultra.ultragazbrasilgas,Shopping
com.candyrufusgames.survivalcraft,Action
net.thoster.handwrite,Productivity
com.thumbtack.pro,Business
com.exatools.soundmeter,Tools
com.Quotes.Arabic,Communication
com.magmamobile.game.Cube,Puzzle
win.free.gift.cards.make.money.cash.game.v6,Finance
com.volcanodiscovery.volcanodiscovery,Weather
com.zwift.zwiftgame,Health & Fitness
com.audioteka,Books & Reference
com.tts.gueststar,Food & Drink
com.ikeyboard.theme.thunder.neon.lights,Personalization
com.geniusgames.number,Education
me.bazaart.app,Art & Design
com.dena.automotive.taxibell,Maps & Navigation
com.trtcocuk.muzikatolyesi,Music
com.yogames.buildconfiar,Lifestyle
com.jjtax.app,Finance
youdrive.today,Auto & Vehicles
com.i6.CityBikeRacingDS,Racing
com.dexatek.airdtv.player,Video Players & Editors
com.cisana.guidatv.uk,Entertainment
com.alitmd.kalenderbali,Tools
com.appworld.meditation.relax,Health & Fitness
at.steirersoft.mydarttraining,Sports
com.boxonthetable.bibleandnote,Books & Reference
com.greensoftware.llovequotes,Entertainment
com.fourtaps.libpro,Sports
com.offroad.taxi.simulator.driving,Strategy
com.olo.noodles,Food & Drink
it.clementoni.robot,Educational
net.btpro.client.koctas,Shopping
com.softtechnetwork.PSIRemote,Tools
com.rocketboosterapps.futureme,Entertainment
by.alfasoft.HolidayJigsawPuzzles,Puzzle
olga.moi.pianokey,Music
spiritualstudio.gayatri,Social
com.rtve.eltiempo,Weather
com.benjaminholfeld.speakgermanfree,Business
udk.android.reader,Productivity
com.cogooland.cursor,Casual
com.insplisity.ultimateworkoutnutrition,Health & Fitness
com.psma.shimmerphotoeffects,Photography
com.instagram.android,Social
com.zhiliaoapp.musically,Social
com.google.android.youtube,Video Players & Editors
com.whatsapp,Communication
